번호,증상,연관 암,위험도,추천 검진 항목
1,만성 기침,폐암,⭐⭐⭐,"흉부 X-ray, CT"
2,객혈(피 섞인 가래),폐암,⭐⭐⭐,"CT, 기관지 내시경"
3,호흡곤란,"폐암, 식도암",⭐⭐,"폐기능 검사, CT"
4,가슴 통증,"폐암, 전립선암",⭐⭐,"CT, 심전도 검사"
5,목소리 변화,"후두암, 폐암, 갑상선암",⭐⭐,후두경 검사
6,삼킴 곤란,"식도암, 갑상선암",⭐⭐,"위내시경, CT"
7,흉부 압박감,폐암,⭐,"흉부 X-ray, CT"
8,이유 없는 기침 지속,폐암,⭐⭐,흉부 X-ray
9,소화불량,"위암, 대장암",⭐⭐⭐,위내시경
10,속 쓰림,위암,⭐⭐,"위내시경, 헬리코박터 검사"
11,구토,"위암, 췌장암",⭐⭐,"복부 초음파, 내시경"
12,복부 팽만감,"위암, 대장암",⭐⭐⭐,"복부 초음파, CT"
13,체중 감소,"폐암, 대장암",⭐⭐⭐,"혈액검사, CT"
14,배변 습관 변화,대장암,⭐⭐⭐,대장내시경
15,혈변,대장암,⭐⭐⭐,"대장내시경, 분변잠혈 검사"
16,흑색 변,위암,⭐⭐⭐,위내시경
17,변비 지속,대장암,⭐,대장내시경
18,잦은 설사,대장암,⭐,대장내시경
19,배뇨 곤란,"전립선암, 방광암",⭐⭐⭐,PSA 혈액검사
20,소변 줄기 약화,전립선암,⭐⭐,"PSA 검사, 소변 검사"
21,혈뇨,방광암,⭐⭐⭐,소변 세포 검사
22,소변 잔뇨감 증가,전립선암,⭐⭐,전립선 초음파
23,밤에 자주 화장실 감,전립선암,⭐,PSA 검사
24,배뇨 시 통증,방광암,⭐⭐,소변 검사
25,림프절 종대,림프종,⭐⭐⭐,"초음파, CT"
26,쉽게 멍이 듦,백혈병,⭐⭐⭐,혈액검사
27,지속적인 피로감,림프종,⭐⭐,혈액검사
28,야간 발한,림프종,⭐⭐,"혈액검사, CT"
29,식욕 부진,"위암, 폐암",⭐⭐⭐,"위내시경, 혈액검사"
30,목에 혹,갑상선암,⭐⭐⭐,갑상선 초음파
31,등 통증,췌장암,⭐⭐,복부 CT
32,청력 저하,신경종양,⭐,청력검사
33,장기간 음주 후 상복부 통증,간암,⭐⭐⭐,"간 초음파, AFP 검사"
34,장기간 흡연 후 목 통증,후두암,⭐⭐⭐,후두경 검사
35,지속적인 두통,뇌종양,⭐⭐⭐,뇌 MRI
36,손발 저림,혈액암,⭐,혈액검사
37,지속적인 두드러기,림프종,⭐,알러지 검사
38,발한 증가,부신암,⭐⭐,호르몬 검사
39,지속적인 메스꺼움,위암,⭐,위내시경
40,오른쪽 갈비뼈 아래 통증,간암,⭐⭐⭐,간 초음파
41,황달,간암,⭐⭐⭐,간 기능 검사
42,혈압이 갑자기 오르내림,부신암,⭐,호르몬 검사
43,피부색이 어두워짐,부신암,⭐,호르몬 검사
44,장기간 코피 지속,백혈병,⭐,혈액검사
45,극심한 어지러움,뇌종양,⭐,뇌 MRI
46,갈비뼈 아래 덩어리 촉진,신장암,⭐⭐⭐,복부 CT
47,구강 내 궤양,구강암,⭐⭐,조직검사
48,잦은 코막힘,비강암,⭐,비강 내시경
49,잇몸 출혈 지속,백혈병,⭐,혈액검사
50,지속적인 허리 통증,전이암,⭐,MRI
